x,y,z
-24.000,-47.313,1.673
-23.920,-47.440,1.673
-23.841,-47.568,1.673
-23.761,-47.695,1.673
-23.682,-47.822,1.673
-23.603,-47.950,1.709
-23.523,-48.077,1.709
-23.444,-48.204,1.709
-23.364,-48.331,1.709
-23.285,-48.459,1.745
-23.206,-48.586,1.745
-23.126,-48.713,1.745
-23.047,-48.840,1.745
-22.968,-48.968,1.745
-22.888,-49.095,1.782
-22.809,-49.222,1.782
-22.729,-49.349,1.782
-22.650,-49.476,1.782
-22.571,-49.604,1.818
-22.491,-49.731,1.818
-22.412,-49.858,1.818
-22.332,-49.986,1.818
-22.253,-50.113,1.818
-22.174,-50.240,1.848
-22.094,-50.367,1.848
-22.015,-50.495,1.848
-21.935,-50.622,1.879
-21.856,-50.749,1.879
-21.777,-50.877,1.879
-21.697,-51.004,1.879
-21.618,-51.131,1.879
-21.538,-51.259,1.909
-21.459,-51.386,1.909
-21.380,-51.513,1.909
-21.300,-51.640,1.909
-21.221,-51.767,1.939
-21.142,-51.895,1.939
-21.062,-52.022,1.939
-20.983,-52.149,1.939
-20.903,-52.276,1.939
-20.824,-52.404,1.970
-20.745,-52.531,1.970
-20.665,-52.658,1.970
-20.586,-52.785,1.970
-20.506,-52.913,1.970
-20.427,-53.040,2.000
-20.348,-53.167,2.000
-20.268,-53.295,2.000
-20.189,-53.422,2.000
-20.147,-53.276,2.000
-20.107,-53.134,2.000
-20.066,-52.989,2.000
-20.025,-52.845,2.000
-19.984,-52.701,2.000
-19.943,-52.556,2.000
-19.902,-52.412,2.000
-19.861,-52.268,2.000
-19.820,-52.122,2.000
-19.779,-51.979,2.000
-19.738,-51.835,2.000
-19.698,-51.691,2.000
-19.657,-51.546,2.000
-19.616,-51.402,2.000
-19.575,-51.258,2.000
-19.534,-51.114,2.000
-19.493,-50.969,2.000
-19.452,-50.825,2.000
-19.411,-50.681,2.000
-19.370,-50.537,2.000
-19.329,-50.392,2.000
-19.288,-50.248,2.000
-19.247,-50.104,2.000
-19.206,-49.959,2.000
-19.165,-49.815,2.000
-19.124,-49.671,2.000
-19.083,-49.526,2.000
-19.042,-49.382,2.000
-19.001,-49.238,2.000
-18.960,-49.093,2.000
-18.919,-48.949,2.000
-18.878,-48.805,2.000
-18.838,-48.660,2.000
-18.797,-48.516,2.000
-18.756,-48.372,2.000
-18.715,-48.228,2.000
-18.674,-48.083,2.000
-18.633,-47.939,2.000
-18.592,-47.795,2.000
-18.551,-47.650,2.000
-18.510,-47.506,2.000
-18.469,-47.361,2.000
-18.428,-47.217,2.000
-18.387,-47.073,2.000
-18.346,-46.929,2.000
-18.305,-46.784,2.000
-18.264,-46.640,2.000
-18.223,-46.496,2.000
-18.182,-46.351,2.000
-18.141,-46.207,2.000
-18.100,-46.063,2.000
-18.059,-45.918,2.000
-18.018,-45.774,2.000
-17.977,-45.630,2.000
-17.936,-45.485,2.000
-17.895,-45.341,2.000
-17.854,-45.197,2.000
-17.814,-45.053,2.000
-17.773,-44.908,2.000
-17.732,-44.764,2.000
-17.691,-44.620,2.000
-17.650,-44.475,2.000
-17.609,-44.331,2.000
-17.568,-44.187,2.000
-17.527,-44.043,2.000
-17.486,-43.898,2.000
-17.445,-43.754,2.000
-17.404,-43.610,2.000
-17.363,-43.465,2.000
-17.322,-43.321,2.000
-17.281,-43.177,2.000
-17.240,-43.032,2.000
-17.199,-42.888,2.000
-17.158,-42.744,2.000
-17.117,-42.599,2.000
-17.076,-42.455,2.000
-17.035,-42.311,2.000
-16.994,-42.166,2.000
-16.954,-42.022,2.000
-16.913,-41.878,2.000
-16.872,-41.734,2.000
-16.831,-41.589,2.000
-16.790,-41.445,2.000
-16.749,-41.301,2.000
-16.708,-41.156,2.000
-16.667,-41.012,2.000
-16.626,-40.868,2.000
-16.585,-40.724,2.000
-16.544,-40.579,2.000
-16.503,-40.435,2.000
-16.462,-40.291,2.000
-16.421,-40.146,2.000
-16.380,-40.002,2.000
-16.339,-39.858,2.000
-16.298,-39.713,2.000
-16.257,-39.569,2.000
-16.216,-39.425,2.000
-16.175,-39.281,2.000
-16.134,-39.136,2.000
-16.093,-38.992,2.000
-16.052,-38.847,2.000
-16.011,-38.703,2.000
-15.970,-38.559,2.000
-15.930,-38.415,2.000
-15.889,-38.270,2.000
-16.030,-38.295,1.960
-16.173,-38.319,1.920
-16.316,-38.344,1.880
-16.458,-38.369,1.840
-16.601,-38.394,1.800
-16.743,-38.418,1.760
-16.886,-38.443,1.720
-17.028,-38.468,1.680
-17.182,-38.474,1.639
-17.328,-38.480,1.600
-17.478,-38.485,1.600
-17.627,-38.491,1.600
-17.777,-38.497,1.600
-17.927,-38.503,1.600
-18.077,-38.509,1.600
-18.112,-38.655,1.600
-18.146,-38.800,1.600
-18.181,-38.948,1.600
-18.216,-39.092,1.600
-18.250,-39.238,1.600
-18.258,-39.388,1.600
-18.266,-39.538,1.600
-18.274,-39.688,1.600
-18.282,-39.837,1.600
-18.289,-39.987,1.600
-18.297,-40.137,1.600
-18.299,-40.289,1.600
-18.301,-40.437,1.600
-18.304,-40.587,1.600
-18.306,-40.737,1.600
-18.308,-40.887,1.600
-18.310,-41.037,1.600
-18.312,-41.187,1.600
-18.313,-41.337,1.600
-18.313,-41.487,1.600
-18.314,-41.637,1.600
-18.314,-41.787,1.600
-18.315,-41.937,1.600
-18.315,-42.087,1.600
-18.316,-42.237,1.600
-18.461,-42.277,1.600
-18.605,-42.318,1.600
-18.749,-42.358,1.600
-18.894,-42.399,1.600
-19.051,-42.412,1.600
-19.192,-42.424,1.600
-19.342,-42.437,1.600
-19.492,-42.449,1.600
-19.641,-42.462,1.600
-19.790,-42.474,1.600
-19.940,-42.486,1.600
-20.090,-42.499,1.600
-20.240,-42.501,1.600
-20.394,-42.504,1.600
-20.540,-42.506,1.600
-20.690,-42.508,1.600
-20.839,-42.511,1.600
-20.989,-42.513,1.600
-21.143,-42.514,1.600
-21.290,-42.514,1.600
-21.440,-42.515,1.600
-21.590,-42.515,1.600
-21.744,-42.516,1.600
-21.889,-42.516,1.600
-22.040,-42.517,1.600
-22.190,-42.517,1.600
-22.340,-42.517,1.600
-22.490,-42.517,1.600
-22.640,-42.517,1.600
-22.790,-42.518,1.600
-22.940,-42.518,1.600
-23.090,-42.518,1.600
-23.240,-42.518,1.600
-23.390,-42.518,1.600
-23.540,-42.518,1.600
-23.690,-42.518,1.600
-23.839,-42.518,1.600
-23.990,-42.518,1.600
-24.140,-42.518,1.600
-24.290,-42.518,1.600
-24.444,-42.518,1.600
-24.590,-42.518,1.600
-24.740,-42.518,1.600
-24.890,-42.518,1.600
-25.040,-42.518,1.600
-25.190,-42.518,1.600
-25.340,-42.518,1.600
-25.490,-42.518,1.600
-25.640,-42.518,1.600
-25.790,-42.518,1.600
-25.940,-42.518,1.600
-26.090,-42.518,1.600
-26.240,-42.518,1.600
-26.390,-42.518,1.600
-26.540,-42.518,1.600
-26.690,-42.518,1.600
-26.840,-42.518,1.600
-26.990,-42.518,1.600
-27.139,-42.518,1.600
